question_id,question,gt_ans,base_ans,moe_ans
515982002,what letter is on the player's helmet?,,c,
318174000,what is the third letter of the word on the laptop?,,t,
133693019,what is the last letter of the word on this sign?,,i,
247057000,what is the last letters that are hidden of the wording on the banner?,,ll,
270274000,what is the last word in the english language sign on the left?,,please,
463272000,what is the third letter on this woman's shirt?,,i,
342770004,what is the last letter or number on the license plate?,,1,
393858001,what letter is on the tail?,,a,
387387002,what is lettered on the side of the bus?,,school bus,
463048001,"if the unlit letter is an o, what does the red sign say?",,no,
392967004,what letter is on the player's helmet?,,s,
90365004,what letter comes first?,,n,
420627000,what is the word that starts with w ?,,wrong,
72860001,what letter is on the side of the boat?,,b,
225571004,what letter does the cast shadow make?,,l,
516727001,what id number does the boat have?,,2008,
547597002,what is the last letter on the black banners?,,x,
374641002,what letter does the cast shadow make?,,v,
246650002,what is the first letter of the second word on the street sign?,,c,
502510001,what is the train's number?,,68020,
110081011,what is the first word of the banner?,,unknown,
134215003,what letter and 3 numbers are on the tag?,,123,
260221002,1 approximately how old is the shopkeeper? 2 do those flowers look a bit wilted?,,no,
