,"cluster_[0, 0, 1, 2, 0, 2]_words","cluster_[0, 0, 1, 2, 0, 2]_freqs","cluster_[0, 0, 1, 2, 2, 2]_words","cluster_[0, 0, 1, 2, 2, 2]_freqs","cluster_[0, 0, 2, 2, 0, 1]_words","cluster_[0, 0, 2, 2, 0, 1]_freqs","cluster_[0, 0, 2, 2, 0, 2]_words","cluster_[0, 0, 2, 2, 0, 2]_freqs","cluster_[0, 0, 2, 2, 2, 1]_words","cluster_[0, 0, 2, 2, 2, 1]_freqs","cluster_[0, 0, 2, 2, 2, 2]_words","cluster_[0, 0, 2, 2, 2, 2]_freqs","cluster_[0, 2, 1, 2, 0, 1]_words","cluster_[0, 2, 1, 2, 0, 1]_freqs","cluster_[0, 2, 1, 2, 0, 2]_words","cluster_[0, 2, 1, 2, 0, 2]_freqs","cluster_[0, 2, 1, 2, 2, 1]_words","cluster_[0, 2, 1, 2, 2, 1]_freqs","cluster_[0, 2, 1, 2, 2, 2]_words","cluster_[0, 2, 1, 2, 2, 2]_freqs","cluster_[0, 2, 2, 2, 0, 1]_words","cluster_[0, 2, 2, 2, 0, 1]_freqs","cluster_[0, 2, 2, 2, 0, 2]_words","cluster_[0, 2, 2, 2, 0, 2]_freqs","cluster_[0, 2, 2, 2, 2, 1]_words","cluster_[0, 2, 2, 2, 2, 1]_freqs","cluster_[0, 2, 2, 2, 2, 2]_words","cluster_[0, 2, 2, 2, 2, 2]_freqs","cluster_[2, 0, 1, 2, 2, 2]_words","cluster_[2, 0, 1, 2, 2, 2]_freqs","cluster_[2, 0, 2, 2, 0, 2]_words","cluster_[2, 0, 2, 2, 0, 2]_freqs","cluster_[2, 0, 2, 2, 2, 1]_words","cluster_[2, 0, 2, 2, 2, 1]_freqs","cluster_[2, 0, 2, 2, 2, 2]_words","cluster_[2, 0, 2, 2, 2, 2]_freqs","cluster_[2, 2, 1, 2, 2, 1]_words","cluster_[2, 2, 1, 2, 2, 1]_freqs","cluster_[2, 2, 1, 2, 2, 2]_words","cluster_[2, 2, 1, 2, 2, 2]_freqs","cluster_[2, 2, 2, 2, 2, 1]_words","cluster_[2, 2, 2, 2, 2, 1]_freqs"
0,cat,634,where,395,animal,446,man,747,people,1030,where,1087,color,1695,color,2161,color,1117,color,1795,man,846,man,1943,people,1629,man,947,color,314,number,952,trees,362,sign,2158,color,1210,color,1603,color,546
1,animal,549,man,357,giraffe,394,where,434,animals,673,man,658,cat,914,man,1337,food,1033,kind,859,wearing,476,holding,1054,man,620,color,695,kind,237,say,876,cars,288,bus,1113,plate,538,kind,463,people,340
2,kind,473,wearing,288,train,234,wearing,424,where,543,people,643,toilet,649,holding,1100,eating,647,man,776,person,404,person,860,color,564,people,522,wall,192,brand,767,train,287,where,971,food,344,food,322,boats,202
3,man,451,kind,251,animals,211,person,295,train,410,who,405,dog,597,cat,846,man,620,food,728,water,319,sport,712,water,501,wearing,494,type,189,time,764,people,248,street,772,table,270,type,297,water,194
4,wearing,336,color,216,where,164,playing,289,elephants,299,wearing,369,wearing,428,woman,791,people,583,wearing,561,color,297,woman,664,animals,383,where,452,shirt,158,sign,694,taken,222,kind,726,kind,228,plate,245,bus,167
5,where,333,room,201,man,142,who,280,giraffes,293,kind,356,man,424,kind,752,plate,560,woman,519,people,248,color,550,sky,368,person,379,left,156,clock,677,background,213,color,702,plates,214,table,202,see,153
6,dog,280,people,182,giraffes,141,game,261,water,293,person,314,animal,409,wearing,641,pizza,554,type,457,woman,201,wearing,538,ground,367,playing,326,table,141,name,575,building,192,building,691,type,159,made,201,sky,145
7,front,276,type,154,looking,131,front,254,animal,272,front,313,pizza,373,person,613,table,519,room,437,horse,184,playing,531,bench,335,sport,325,which,120,train,558,was,183,say,621,made,157,left,168,building,141
8,sitting,257,table,146,elephant,127,kind,228,zoo,247,behind,288,bird,329,hand,530,meal,473,where,376,ball,183,boy,387,wearing,329,woman,309,made,117,shirt,535,see,162,number,595,fruit,156,pattern,165,train,130
9,bear,255,person,146,standing,126,woman,188,giraffe,247,which,267,woman,231,toilet,524,eat,359,table,370,animal,180,hand,380,person,329,kind,287,right,111,color,474,bus,153,taken,569,donuts,151,fruit,154,plane,129
