,ques_id,question,image_id,answer_type,question_type,gt_answer,pred,acc,beam_scores,expert_route,id
0,2971475,What sport can you use this for?,297147,other,one,"['racing', 'racing', 'racing', 'racing', 'racing', 'racing', 'motocross', 'motocross', 'riding', 'riding']",racing,100.0,0.01767956092953682,"[1, 1, 1, 0, 1, 0]",3.0
1,3397615,Name the type of plant this is?,339761,other,eight,"['vine', 'vine', 'vine', 'vine', 'climbing', 'climbing', 'looks like some kind of ivy', 'looks like some kind of ivy', 'ficus', 'ficus']",ivy,0.0,0.018059466034173965,"[0, 1, 1, 1, 0, 0]",14.0
2,3575865,What toy is this?,357586,other,other,"['stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'teddy bear', 'teddy bear', 'teddy bear', 'teddy bear']",teddy bear,100.0,0.01803033985197544,"[0, 0, 0, 0, 0, 1]",9.0
3,949225,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?,94922,other,eight,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth']",paw,0.0,0.019719770178198814,"[0, 0, 0, 0, 1, 1]",23.0
4,2076115,What could this gentleman be carrying in that red bag?,207611,other,seven,"['clothes', 'clothes', 'clothes', 'clothes', 'food', 'food', 'lunch', 'lunch', 'shoes', 'shoes']",lunch,60.0,0.017879342660307884,"[1, 0, 0, 0, 0, 0]",23.0
5,5723996,Who leaves a toilet like this?,572399,other,seven,"['man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men']",man,100.0,,,
6,5759705,A center affixed unit like this one in a kitchen is called a what?,575970,other,seven,"['island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island']",counter,0.0,0.020429180935025215,"[1, 0, 1, 1, 0, 0]",5.0
7,3045575,Why might someone go to this place?,304557,other,seven,"['shopping', 'shopping', 'shopping', 'shopping', 'nyc', 'nyc', 'shop', 'shop', 'business', 'business']",shopping,100.0,0.01797936111688614,"[1, 1, 1, 0, 1, 0]",31.0
8,2183655,What does this grow from?,218365,other,eight,"['ground', 'ground', 'ground', 'ground', 'plant', 'plant', 'hibiscus plant stem', 'hibiscus plant stem', 'roots', 'roots']",bulb,0.0,0.020112749189138412,"[0, 1, 1, 1, 0, 0]",31.0
9,2863135,What is that man doing with the bat?,286313,other,four,"['swinging', 'swinging', 'swinging', 'swinging', 'swing', 'swing', 'hitting', 'hitting', 'trying to hit hte ball', 'trying to hit hte ball']",swinging,100.0,0.017578210681676865,"[0, 1, 0, 0, 1, 0]",7.0
