,question_id,image,question,gt_ans,pred_ans,full_answer,judge,image_id,cluster_id,vqa_acc,pred_ans_CLUSTER,cluster_id_CLUSTER,vqa_acc_CLUSTER
0,201303229,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n518912.jpg,How tall is the chair in the bottom of the photo?,short,5 feet,The chair is short.,0,n518912.jpg,0,0,5 feet,0,0
1,20136592,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n446242.jpg,What color are the pants?,red,red,The pants are red.,1,n446242.jpg,0,1,red,0,1
2,201079951,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n23181.jpg,What is around the open window?,drapes,curtains,The draperies are around the window.,0,n23181.jpg,0,0,curtains,0,0
3,201079952,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n23181.jpg,What's around the window?,drapes,curtains,The draperies are around the window.,0,n23181.jpg,0,0,curtains,0,0
4,201079958,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n23181.jpg,Are there drapes to the right of the bed?,yes,no,"Yes, there are drapes to the right of the bed.",0,n23181.jpg,0,0,no,0,0
5,202218649,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n578564.jpg,What is hanging above the chalkboard?,picture,picture,The picture is hanging above the chalkboard.,1,n578564.jpg,0,1,a pot,0,0
6,20306193,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n554880.jpg,Does the sweater look open and blue?,yes,no,"Yes, the sweater is open and blue.",0,n554880.jpg,0,0,no,0,0
7,20753400,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n49438.jpg,Are there beds next to the small outlet?,yes,no,"Yes, there is a bed next to the outlet.",0,n49438.jpg,0,0,no,0,0
8,20151723,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n313060.jpg,On which side of the picture is the leather bag?,right,left,The purse is on the right of the image.,0,n313060.jpg,0,0,left,0,0
9,201030735,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n54424.jpg,Is the blue pillow square and large?,no,yes,"No, the pillow is square but small.",0,n54424.jpg,0,0,yes,0,0
10,201110833,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n546616.jpg,Are the plates on top of an ottoman?,no,no,"No, the plates are on top of the table.",1,n546616.jpg,0,1,no,0,1
11,20866249,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n579256.jpg,Is the freezer near the wall small or large?,large,small,The fridge is large.,0,n579256.jpg,0,0,small,0,0
12,201497576,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n315887.jpg,Are both the phone and the coffee cup the same color?,yes,no,"Yes, both the phone and the coffee cup are black.",0,n315887.jpg,0,0,no,0,0
13,20866242,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n579256.jpg,Are there either any small refrigerators or microwaves in the picture?,no,no,"No, there is a refrigerator but it is large.",1,n579256.jpg,0,1,no,0,1
14,20856965,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n293477.jpg,What color is the book?,white,white,The book is white.,1,n293477.jpg,0,1,green,0,0
15,20856960,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n293477.jpg,Is the bag made of leather lying on top of a sofa?,no,no,"No, the purse is lying on top of a bed.",1,n293477.jpg,0,1,no,0,1
16,201079954,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n23181.jpg,What are the drapes around of?,window,windows,The draperies are around the window.,0,n23181.jpg,0,1,windows,0,1
17,201974972,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n274905.jpg,Which kind of clothing is pink?,tank top,top,The clothing is a tank top.,0,n274905.jpg,0,0,top,0,0
18,201974976,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n274905.jpg,Which kind of clothing is not pink?,hat,black,The clothing is a hat.,0,n274905.jpg,0,0,black,0,0
19,201974979,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n274905.jpg,What kind of clothing is sleeveless?,tank top,tops,The clothing is a tank top.,0,n274905.jpg,0,0,tops,0,0
20,201765651,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n488874.jpg,Which color is the shirt?,white,white,The shirt is white.,1,n488874.jpg,0,1,white,0,1
21,20508243,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/GQA/images/n511913.jpg,On which side of the picture is the chair?,right,left side,The chair is on the right of the image.,0,n511913.jpg,0,0,left,0,0
