,ques_id,question,image_id,answer_type,question_type,gt_answer,pred,acc
0,2971475,What sport can you use this for?,297147,other,one,"['racing', 'racing', 'racing', 'racing', 'racing', 'racing', 'motocross', 'motocross', 'riding', 'riding']",motorcycle,0.0
1,3397615,Name the type of plant this is?,339761,other,eight,"['vine', 'vine', 'vine', 'vine', 'climbing', 'climbing', 'looks like some kind of ivy', 'looks like some kind of ivy', 'ficus', 'ficus']",fern,0.0
2,3575865,What toy is this?,357586,other,other,"['stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'stuffed animal', 'teddy bear', 'teddy bear', 'teddy bear', 'teddy bear']",teddy bear,100.0
3,949225,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?,94922,other,eight,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth']",tail,0.0
4,2076115,What could this gentleman be carrying in that red bag?,207611,other,seven,"['clothes', 'clothes', 'clothes', 'clothes', 'food', 'food', 'lunch', 'lunch', 'shoes', 'shoes']",lunch,60.0
5,5723996,Who leaves a toilet like this?,572399,other,seven,"['man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men']",man,100.0
6,5759705,A center affixed unit like this one in a kitchen is called a what?,575970,other,seven,"['island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island', 'island']",island,100.0
7,3045575,Why might someone go to this place?,304557,other,seven,"['shopping', 'shopping', 'shopping', 'shopping', 'nyc', 'nyc', 'shop', 'shop', 'business', 'business']",shopping,0.0
8,2183655,What does this grow from?,218365,other,eight,"['ground', 'ground', 'ground', 'ground', 'plant', 'plant', 'hibiscus plant stem', 'hibiscus plant stem', 'roots', 'roots']",stem,0.0
9,2863135,What is that man doing with the bat?,286313,other,four,"['swinging', 'swinging', 'swinging', 'swinging', 'swing', 'swing', 'hitting', 'hitting', 'trying to hit hte ball', 'trying to hit hte ball']",waiting,0.0
10,299845,Is this at a salt water beach or a lake?,29984,other,seven,"['salt water beach', 'salt water beach', 'salt water beach', 'salt water beach', 'salt water', 'salt water', 'lake', 'lake', 'beach', 'beach']",lake,60.0
11,115115,Who designed the statues?,11511,other,other,"['artist', 'artist', 'artist', 'artist', 'guell', 'guell', 'toscano', 'toscano', 'aritect', 'aritect']",artist,100.0
12,3234605,What is the name of the items the hot dog are topped with?,323460,other,five,"['condiments', 'condiments', 'condiments', 'condiments', 'onions relish', 'onions relish', 'vegetables', 'vegetables', 'relish', 'relish']",relish,60.0
13,5169165,What is this desk used for?,516916,other,other,"['working', 'working', 'working', 'working', 'computing', 'computing', 'work', 'work', 'office', 'office']",work,100.0
14,217115,What type of bike is on the ground?,21711,other,one,"['bmx', 'bmx', 'bmx', 'bmx', 'bicycle', 'bicycle', 'bicycle', 'bicycle', '10 speed', '10 speed']",dirt bike,0.0
15,3133865,What type of plane is that?,313386,other,one,"['commercial', 'commercial', 'commercial', 'commercial', 'passenger', 'passenger', 'quantas', 'quantas', 'md 80', 'md 80']",passenger,60.0
16,4026395,Is this a room for a boy or girl?,402639,other,seven,"['girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl']",girl,100.0
17,4575845,In what year was this desert first introduced?,457584,other,three,"['1847', '1847', '1847', '1847', '1860', '1860', '1934', '1934', '1900s', '1900s']",unknown,0.0
18,4883775,What is this surf trick called?,488377,other,four,"['riding', 'riding', 'riding', 'riding', 'tube ride', 'tube ride', 'ollie', 'ollie', 'wave runner', 'wave runner']",jump,0.0
19,3017535,What do they call running around the bases on a single hit?,301753,other,four,"['homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'home run', 'home run', 'home run', 'home run']",running,0.0
20,1833195,Why is this plugged in?,183319,other,nine,"['charging', 'charging', 'charging', 'charging', 'to have power and work', 'to have power and work', 'power', 'power', 'outlet', 'outlet']",power,60.0
21,3970635,What is the shape?,397063,other,three,"['circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'round', 'round', 'round', 'round']",circle,100.0
