dataset,question,answer,index,image,origin_dataset,class
Open_VQA_images,What is in the image?,['platform or tunnel'],1,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00000698.jpg,places365,Place
Open_VQA_images,How many tusks does the elephant on the right have?,['1'],33,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000076351.jpg,vqav2,Counting
Open_VQA_images,What kind of animals are these?,['elephants'],65,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000511724.jpg,vqav2,Others
Open_VQA_images,What color is the horse in the foreground?,['white'],97,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000196706.jpg,vqav2,Color
Open_VQA_images,Is this dog driving the bus?,['no'],129,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000411187.jpg,vqav2,Reasoning
Open_VQA_images,What does the sign say above the woman's head?,['fresh berries'],161,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000117352.jpg,vqav2,OCR
Open_VQA_images,Are there other pictures on the sign?,['no'],193,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000245983.jpg,vqav2,OCR
Open_VQA_images,Are there any clouds in the sky?,['yes'],225,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000001374.jpg,vqav2,Others
Open_VQA_images,Has the boy taken a bite of the sandwich yet?,['no'],257,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000578330.jpg,vqav2,Others
Open_VQA_images,What is the title of this book?,['bible stories: with songs & fingerplays whole people of god library'],289,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/514cSEpvv5L.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['Living room or waiting room'],2,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00017116.jpg,places365,Place
Open_VQA_images,Is there a clock on the building?,['yes'],34,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000069873.jpg,vqav2,Others
Open_VQA_images,What color is the bus?,['green'],66,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000442701.jpg,vqav2,Color
Open_VQA_images,How many kayaks are on the beachfront?,['10'],98,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000381123.jpg,vqav2,Counting
Open_VQA_images,What is on the mug?,['cat'],130,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000527906.jpg,vqav2,Others
Open_VQA_images,What print on the throw is the dog sleeping on?,['leopard'],162,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000383448.jpg,vqav2,Others
Open_VQA_images,Would it be dangerous to fly a plane in the sky right now?,['yes'],194,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000080462.jpg,vqav2,Reasoning
Open_VQA_images,What animal is in the photo?,['horse'],226,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000436127.jpg,vqav2,Others
Open_VQA_images,Which side is the double-decker bus?,['right'],258,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000531036.jpg,vqav2,Spatial
Open_VQA_images,What is the title of this book?,['israel my beloved'],290,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51qS1HIBH-L.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['supermarket or food retail area'],3,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00012129.jpg,places365,Place
Open_VQA_images,What is in the glass?,['juice'],35,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000278226.jpg,vqav2,Others
Open_VQA_images,What is the man in the background resting his head on?,['pillow'],67,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000538721.jpg,vqav2,Others
Open_VQA_images,What does the big red sign on the left say?,['toyota'],99,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000560797.jpg,vqav2,OCR
Open_VQA_images,What sport is being played?,['baseball'],131,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000100909.jpg,vqav2,Action
Open_VQA_images,How many slats are on the back of the bench?,['1'],163,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000136464.jpg,vqav2,Counting
Open_VQA_images,Is there a horse in the stable?,['yes'],195,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000469603.jpg,vqav2,Others
Open_VQA_images,What is the hydraulic lift in the back used for?,['towing'],227,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000253506.jpg,vqav2,Reasoning
Open_VQA_images,What is the man holding?,['video game controller'],259,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000490022.jpg,vqav2,Others
Open_VQA_images,Is this a pedagogy book?,['no'],291,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51-WxeHA9jL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['department store or Clothing store'],4,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00010869.jpg,places365,Place
Open_VQA_images,What would happen if you folded up the metal triangle on the side of the motorbike?,['it would fall'],36,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000191117.jpg,vqav2,Reasoning
Open_VQA_images,How many zebras are there?,['3'],68,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000272188.jpg,vqav2,Counting
Open_VQA_images,What kind of pants is in this photo?,['jeans'],100,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000047940.jpg,vqav2,Others
Open_VQA_images,What are the people in the distance doing?,['kayaking'],132,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000441496.jpg,vqav2,Action
Open_VQA_images,What color shirt is the pitcher wearing?,['yellow'],164,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000300655.jpg,vqav2,Color
Open_VQA_images,How many people are sitting at the table?,['7'],196,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000510657.jpg,vqav2,Counting
Open_VQA_images,Is the cow tagged?,['yes'],228,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000573067.jpg,vqav2,Others
Open_VQA_images,Does he have protective gear?,['no'],260,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000374270.jpg,vqav2,Others
Open_VQA_images,Is this a games related book?,['yes'],292,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51FWsQD3itL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['kitchen'],5,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00016047.jpg,places365,Place
Open_VQA_images,Who uses this yellow object?,['firefighters'],37,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000097767.jpg,vqav2,Reasoning
Open_VQA_images,What kind of place would you see the main object in this picture?,['train station or railway station'],69,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000461973.jpg,vqav2,Place
Open_VQA_images,What color are the shoes for the woman on the left?,['yellow'],101,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000122542.jpg,vqav2,Color
Open_VQA_images,What are the color of the lines on the court?,['white'],133,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000502936.jpg,vqav2,Color
Open_VQA_images,What is on the Plate?,['waffles，bacons and fried egg'],165,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000265227.jpg,vqav2,Others
Open_VQA_images,What dessert is on the girl's shirt?,['cake with strawberry'],197,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000009270.jpg,vqav2,Others
Open_VQA_images,Is his pant zipper undone?,['no'],229,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000254990.jpg,vqav2,Others
Open_VQA_images,What needs to be moved before the dishwasher can be emptied?,['trash can'],261,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000190734.jpg,vqav2,Reasoning
Open_VQA_images,Is this book related to Arts & Photography?,['yes'],293,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/41Xz5uhEazL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['Horse farm or rodeo'],6,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00023685.jpg,places365,Place
Open_VQA_images,What sport is he engaging in?,['skateboarding'],38,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000157352.jpg,vqav2,Action
Open_VQA_images,Are these ducks or geese?,['geese'],70,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000074711.jpg,vqav2,Others
Open_VQA_images,Is the lady hungry?,['yes'],102,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000152336.jpg,vqav2,Reasoning
Open_VQA_images,Is the man's hair long or short?,['long'],134,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000330754.jpg,vqav2,Others
Open_VQA_images,Is this boy having food in bed?,['no'],166,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000012153.jpg,vqav2,Others
Open_VQA_images,Is the man skateboarding?,['yes'],198,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000576754.jpg,vqav2,Action
Open_VQA_images,Are the people dressed up?,['no'],230,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000497555.jpg,vqav2,Reasoning
Open_VQA_images,Is this a fitness book?,['no'],262,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51yYaBIXCoL.jpg,ocrvqa,OCR
Open_VQA_images,Is this a romantic book?,['no'],294,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/41bFbetMx8L.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['Skating rink'],7,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00030924.jpg,places365,Place
Open_VQA_images,Is the background in focus in this photo?,['no'],39,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000300155.jpg,vqav2,Reasoning
Open_VQA_images,Where is the food?,['on plate'],71,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000241525.jpg,vqav2,Spatial
