,"cluster_[0, 0, 0, 0, 1, 0]_words","cluster_[0, 0, 0, 0, 1, 0]_freqs","cluster_[0, 0, 0, 0, 1, 1]_words","cluster_[0, 0, 0, 0, 1, 1]_freqs","cluster_[0, 0, 0, 0, 2, 0]_words","cluster_[0, 0, 0, 0, 2, 0]_freqs","cluster_[0, 0, 0, 0, 2, 1]_words","cluster_[0, 0, 0, 0, 2, 1]_freqs","cluster_[0, 2, 0, 0, 1, 0]_words","cluster_[0, 2, 0, 0, 1, 0]_freqs","cluster_[0, 2, 0, 0, 1, 1]_words","cluster_[0, 2, 0, 0, 1, 1]_freqs","cluster_[0, 2, 0, 0, 1, 2]_words","cluster_[0, 2, 0, 0, 1, 2]_freqs","cluster_[0, 2, 0, 0, 2, 0]_words","cluster_[0, 2, 0, 0, 2, 0]_freqs","cluster_[0, 2, 0, 0, 2, 1]_words","cluster_[0, 2, 0, 0, 2, 1]_freqs","cluster_[0, 2, 0, 0, 2, 2]_words","cluster_[0, 2, 0, 0, 2, 2]_freqs","cluster_[1, 1, 0, 0, 2, 0]_words","cluster_[1, 1, 0, 0, 2, 0]_freqs","cluster_[1, 1, 0, 0, 2, 2]_words","cluster_[1, 1, 0, 0, 2, 2]_freqs","cluster_[1, 1, 2, 0, 1, 0]_words","cluster_[1, 1, 2, 0, 1, 0]_freqs","cluster_[1, 1, 2, 0, 1, 2]_words","cluster_[1, 1, 2, 0, 1, 2]_freqs","cluster_[1, 1, 2, 0, 2, 0]_words","cluster_[1, 1, 2, 0, 2, 0]_freqs","cluster_[1, 1, 2, 0, 2, 2]_words","cluster_[1, 1, 2, 0, 2, 2]_freqs","cluster_[1, 2, 0, 0, 1, 0]_words","cluster_[1, 2, 0, 0, 1, 0]_freqs","cluster_[1, 2, 0, 0, 1, 2]_words","cluster_[1, 2, 0, 0, 1, 2]_freqs","cluster_[1, 2, 0, 0, 2, 0]_words","cluster_[1, 2, 0, 0, 2, 0]_freqs","cluster_[1, 2, 0, 0, 2, 2]_words","cluster_[1, 2, 0, 0, 2, 2]_freqs","cluster_[1, 2, 1, 0, 2, 2]_words","cluster_[1, 2, 1, 0, 2, 2]_freqs","cluster_[2, 1, 0, 0, 1, 0]_words","cluster_[2, 1, 0, 0, 1, 0]_freqs","cluster_[2, 1, 0, 0, 2, 0]_words","cluster_[2, 1, 0, 0, 2, 0]_freqs","cluster_[2, 1, 2, 0, 1, 0]_words","cluster_[2, 1, 2, 0, 1, 0]_freqs","cluster_[2, 1, 2, 0, 1, 2]_words","cluster_[2, 1, 2, 0, 1, 2]_freqs","cluster_[2, 1, 2, 0, 2, 0]_words","cluster_[2, 1, 2, 0, 2, 0]_freqs","cluster_[2, 1, 2, 0, 2, 2]_words","cluster_[2, 1, 2, 0, 2, 2]_freqs"
0,color,720,train,973,color,255,animal,1534,color,731,birds,72,people,126,color,521,animals,820,people,1729,color,229,man,931,cat,1603,room,277,color,1262,man,4986,color,368,color,256,color,501,man,3444,sport,216,sign,1160,sign,965,color,4543,color,152,food,1769,number,375
1,building,476,plane,446,animal,105,animals,1243,water,371,animals,67,color,100,sky,434,color,323,man,1573,dog,109,wearing,594,color,859,man,268,cat,1055,wearing,3104,people,107,people,209,wearing,104,color,3279,man,184,color,957,color,653,room,2700,brand,150,plate,1538,brand,315
2,time,470,bus,391,bus,104,giraffe,666,people,300,color,58,water,51,clouds,202,elephants,318,color,1345,man,78,color,495,dog,437,color,236,man,502,woman,2355,made,86,wearing,125,man,102,wearing,2189,playing,183,where,490,bus,463,toilet,1536,made,75,color,1510,shirt,220
3,bus,451,color,263,where,75,color,520,sky,268,water,54,time,50,trees,182,kind,258,person,1124,wearing,70,woman,406,animal,358,people,144,dog,497,color,2229,umbrellas,68,man,110,front,75,people,2111,ball,138,street,481,say,429,where,1408,white,69,kind,1249,name,146
4,train,417,where,236,train,64,kind,518,boats,249,kind,41,taken,48,grass,171,trees,239,water,937,shirt,55,people,363,where,295,dog,128,shirt,465,people,1961,left,67,helmet,81,holding,74,person,1462,tennis,99,clock,466,number,426,kind,1396,black,64,type,762,color,136
5,clock,359,vehicle,199,truck,62,elephant,503,day,243,planes,38,day,45,weather,154,zebras,235,sport,802,animal,52,person,354,kind,267,made,125,kind,414,person,1626,side,61,bike,70,person,66,woman,1192,hit,95,time,459,street,285,made,1201,look,61,fruit,681,man,136
6,where,348,moving,189,bird,56,zebras,492,taken,233,road,36,motorcycle,43,water,148,grass,233,where,668,person,42,dog,219,room,265,wearing,93,wearing,411,holding,1394,truck,56,made,64,woman,63,holding,1011,game,95,building,415,name,270,wall,1123,chair,59,meal,623,company,104
7,light,267,trains,178,front,54,zebra,457,building,226,taken,34,was,43,people,144,cows,214,playing,538,where,40,where,191,cats,249,where,92,animal,390,girl,1116,bus,53,left,57,people,60,playing,869,played,91,bus,369,where,172,pizza,1042,computer,59,sandwich,543,player,98
8,truck,247,kind,162,vehicle,49,plane,457,time,202,city,32,kind,40,day,109,animal,212,game,452,cat,39,sitting,186,sitting,248,type,90,person,331,shirt,951,right,51,which,56,sky,58,boy,771,holding,83,hydrant,347,hydrant,171,type,979,bike,55,pizza,522,phone,94
9,cars,243,type,157,boat,49,where,443,street,190,street,31,boat,40,kind,101,sheep,198,who,429,sitting,36,holding,177,made,177,kind,89,holding,305,boy,828,light,51,vehicle,55,umbrella,57,sport,701,court,77,say,346,written,149,table,978,phone,51,number,479,say,91
10,traffic,219,buses,137,kind,48,giraffes,422,was,182,scene,29,vehicles,38,cloudy,96,water,182,riding,378,bench,34,shirt,172,type,158,look,87,food,265,kind,793,street,49,side,54,dog,57,shirt,611,player,72,bench,304,sky,144,bathroom,868,laptop,47,table,468,right,87
11,car,211,going,112,sky,41,bird,407,trees,173,raining,29,street,37,where,85,giraffes,171,kind,366,front,32,boy,143,table,149,white,84,eating,241,who,742,which,48,kind,52,shirt,55,men,602,person,63,signs,302,front,133,floor,796,bed,43,cake,430,which,86
12,kind,188,tracks,110,animals,36,train,395,where,172,where,25,riding,37,kite,85,type,168,ball,362,woman,32,girl,141,wall,140,which,83,woman,232,dog,741,umbrella,40,motorcycle,52,left,53,right,566,woman,52,stop,268,signs,128,bed,759,which,43,where,424,batter,84
13,vehicle,179,planes,109,horse,34,type,367,kind,163,day,24,where,37,type,76,where,150,wearing,343,people,31,kind,125,man,138,woman,79,table,215,where,730,kind,40,look,51,grass,52,riding,546,where,39,kind,242,train,125,which,755,table,42,vegetable,397,plate,78
14,lights,162,cars,102,trees,33,elephants,320,type,153,cars,24,bike,36,season,75,standing,131,ground,320,umbrella,29,shoes,112,wearing,138,table,78,type,202,hand,717,car,37,type,45,weather,48,where,528,color,37,light,228,which,105,flowers,735,motorcycle,42,dish,394,who,75
15,plane,160,people,98,giraffe,33,bear,320,background,145,was,24,black,34,like,72,zoo,129,dog,320,standing,28,looking,104,laying,138,cat,78,cake,185,hair,651,windows,33,white,44,bird,41,left,513,who,36,truck,223,red,103,top,660,wall,41,shown,366,written,69
16,street,158,parked,91,which,32,eating,308,boat,142,here,24,made,33,kites,69,birds,127,going,304,kind,27,animal,101,bed,133,person,77,where,175,eating,601,where,32,street,43,standing,39,standing,510,racket,33,taken,213,stop,90,window,632,small,40,bowl,365,white,64
17,people,157,car,81,grass,31,which,244,cars,135,train,23,motorcycles,33,front,65,background,126,why,295,holding,27,horse,98,eyes,119,kitchen,71,looking,166,glasses,595,see,30,hat,42,made,37,girl,510,people,32,fire,206,fire,89,see,583,shape,39,which,363,jersey,64
18,type,152,truck,81,behind,31,standing,230,made,129,buses,23,place,32,flying,61,shown,107,standing,285,who,25,who,97,animals,118,see,70,eyes,160,sitting,580,train,30,black,39,dogs,37,who,503,hand,29,car,196,truck,89,vase,582,material,36,vegetables,333,table,62
19,tower,139,station,81,car,30,zoo,212,road,129,area,23,type,32,background,60,horses,105,type,282,which,25,type,93,floor,105,black,69,sitting,150,which,574,sky,29,person,39,right,36,which,412,serving,29,type,185,word,89,kitchen,578,see,36,sign,328,wall,62
20,day,124,airplane,81,plane,29,wild,205,scene,129,sheep,23,building,32,sunny,58,giraffe,101,snow,281,horse,25,look,91,dogs,103,open,69,tie,147,child,564,visible,29,right,38,animal,35,player,374,type,24,traffic,183,side,88,clock,564,left,35,top,321,advertised,60
21,see,119,vehicles,71,zebra,27,short,189,see,125,people,23,city,32,fence,56,taken,97,short,275,eating,25,umbrella,91,which,102,window,67,which,143,men,524,look,28,where,36,animals,34,hand,369,kind,23,was,179,kind,86,shown,555,tv,35,green,320,team,60
22,front,118,passenger,70,fence,26,birds,183,lights,123,flying,21,white,31,clear,56,wild,95,which,271,giraffe,23,right,90,window,98,floor,67,pizza,141,looking,519,window,28,men,35,kind,33,ball,361,girl,23,red,178,white,78,sink,525,type,33,meat,315,letters,58
23,right,114,shown,62,birds,26,horse,179,weather,114,look,21,bikes,31,air,55,short,91,batter,269,dogs,23,which,86,top,95,sitting,63,bear,140,type,512,building,26,bikes,35,ground,31,game,337,ground,22,made,171,numbers,78,food,524,room,31,say,310,left,57
24,boat,108,street,61,standing,25,looking,170,sunny,107,white,20,which,30,see,50,zebra,89,horse,255,water,22,standing,84,see,94,mirror,62,cats,130,right,490,type,26,material,34,fence,30,kind,331,why,21,top,167,pointing,74,computer,513,floor,30,hot,306,look,54
25,left,106,flying,59,tree,25,see,166,buildings,103,type,20,man,30,snow,50,natural,89,surfer,245,sky,22,riding,82,sleeping,93,chair,57,girl,122,left,486,road,26,car,34,sheep,30,helmet,314,going,20,which,154,building,74,furniture,509,right,28,would,302,shown,53
26,which,104,taken,53,type,25,shown,163,shown,103,vehicles,19,road,29,animals,49,see,82,animal,241,cow,21,elephant,81,bear,92,hat,56,who,120,happy,464,lights,26,see,33,see,30,child,297,made,17,train,153,clouds,73,right,503,large,28,name,295,back,51
27,city,103,city,52,bear,25,tree,160,city,101,bird,19,car,28,sheep,48,here,80,boy,232,type,20,child,81,tie,92,tie,56,boy,117,playing,460,bench,25,umbrella,32,horse,29,look,292,lady,16,road,152,letters,73,sitting,493,clock,28,healthy,269,food,49
28,buildings,99,jet,52,legs,24,grass,155,like,96,background,19,shown,27,boat,48,elephant,78,beach,228,sheep,19,happy,78,computer,91,furniture,55,bird,104,look,433,red,24,bench,32,who,29,horse,286,short,16,front,147,license,72,clean,470,couch,27,glass,261,sponsoring,49
