,"cluster_[0, 0, 0, 2, 2, 0]_words","cluster_[0, 0, 0, 2, 2, 0]_freqs","cluster_[0, 0, 0, 2, 2, 1]_words","cluster_[0, 0, 0, 2, 2, 1]_freqs","cluster_[0, 0, 1, 2, 2, 1]_words","cluster_[0, 0, 1, 2, 2, 1]_freqs","cluster_[0, 1, 0, 2, 2, 1]_words","cluster_[0, 1, 0, 2, 2, 1]_freqs","cluster_[0, 1, 1, 2, 2, 1]_words","cluster_[0, 1, 1, 2, 2, 1]_freqs","cluster_[0, 2, 1, 2, 2, 1]_words","cluster_[0, 2, 1, 2, 2, 1]_freqs","cluster_[1, 0, 0, 2, 2, 0]_words","cluster_[1, 0, 0, 2, 2, 0]_freqs","cluster_[1, 0, 0, 2, 2, 1]_words","cluster_[1, 0, 0, 2, 2, 1]_freqs","cluster_[1, 1, 0, 2, 2, 0]_words","cluster_[1, 1, 0, 2, 2, 0]_freqs","cluster_[1, 1, 0, 2, 2, 1]_words","cluster_[1, 1, 0, 2, 2, 1]_freqs","cluster_[1, 1, 1, 2, 2, 1]_words","cluster_[1, 1, 1, 2, 2, 1]_freqs","cluster_[2, 0, 0, 2, 2, 0]_words","cluster_[2, 0, 0, 2, 2, 0]_freqs","cluster_[2, 0, 0, 2, 2, 1]_words","cluster_[2, 0, 0, 2, 2, 1]_freqs","cluster_[2, 0, 0, 2, 2, 2]_words","cluster_[2, 0, 0, 2, 2, 2]_freqs","cluster_[2, 1, 0, 2, 2, 1]_words","cluster_[2, 1, 0, 2, 2, 1]_freqs","cluster_[2, 1, 0, 2, 2, 2]_words","cluster_[2, 1, 0, 2, 2, 2]_freqs","cluster_[2, 1, 1, 2, 2, 1]_words","cluster_[2, 1, 1, 2, 2, 1]_freqs","cluster_[2, 1, 1, 2, 2, 2]_words","cluster_[2, 1, 1, 2, 2, 2]_freqs","cluster_[2, 2, 1, 2, 2, 1]_words","cluster_[2, 2, 1, 2, 2, 1]_freqs","cluster_[2, 2, 1, 2, 2, 2]_words","cluster_[2, 2, 1, 2, 2, 2]_freqs"
0,animals,9,man,106,man,8,man,27,man,73,people,36,animals,28,man,21,animal,14,dog,20,cat,55,train,42,color,35,sign,44,color,33,color,10,color,31,color,90,room,6,room,25
1,kind,8,color,102,color,8,color,24,color,40,man,25,animal,17,color,21,animals,8,color,17,color,34,where,20,bus,17,say,33,hydrant,11,bench,8,computer,9,plate,37,here,4,color,11
2,vehicle,6,people,71,person,7,person,17,woman,26,wearing,12,zebras,9,person,19,kind,7,bird,10,man,20,kind,15,train,12,street,16,truck,5,where,7,which,9,kind,36,made,3,bathroom,8
3,trees,6,wearing,41,court,6,woman,17,wearing,25,playing,9,type,9,wearing,12,elephant,5,giraffe,8,dog,19,type,14,time,12,time,16,fire,5,meter,5,kind,8,food,33,color,3,where,8
4,people,5,person,38,who,5,wearing,14,person,25,game,7,kind,7,water,12,zebra,5,zebra,8,animal,13,plane,12,truck,11,clock,14,motorcycle,5,hydrant,4,made,8,pizza,25,appliance,3,kind,6
5,was,5,where,32,sport,5,people,12,people,23,woman,7,elephants,7,boy,10,bird,5,animal,7,wearing,9,bus,12,where,9,number,12,bike,4,clock,4,see,7,toilet,25,open,2,furniture,6
6,white,4,playing,23,playing,5,holding,11,girl,21,table,6,plane,6,where,8,eating,4,sitting,7,cats,8,short,9,road,9,signs,10,parked,4,type,3,shirt,6,type,25,doors,2,house,6
7,why,4,boy,22,ball,4,eating,7,kind,20,color,6,zebra,6,skateboarder,7,looking,4,man,6,looking,8,street,8,building,7,color,10,umbrella,4,boat,3,shown,6,where,24,windows,2,wall,6
8,taken,3,ball,20,woman,4,sitting,6,holding,18,room,6,grass,6,who,7,direction,4,bear,5,where,7,trains,7,car,7,where,9,where,3,kind,3,flowers,6,table,19,scene,2,type,6
9,zebras,3,holding,20,hit,4,men,5,shirt,17,right,6,bear,5,giraffe,7,tree,4,animals,5,type,7,taken,7,water,6,train,9,hat,3,park,3,type,6,white,18,type,2,which,5
10,train,3,sport,19,tennis,3,motorcycle,5,table,13,restaurant,4,giraffe,5,plane,7,which,3,looking,5,kind,6,building,7,sky,6,written,8,man,3,umbrellas,3,food,6,look,15,was,1,couch,4
11,color,3,shirt,18,people,3,standing,5,sitting,12,kitchen,4,color,5,sport,7,zebras,3,person,5,look,6,time,6,scene,6,plane,8,bench,3,sitting,3,person,6,room,14,something,1,floor,4
12,sky,3,woman,16,taken,3,kind,5,food,11,system,4,where,5,going,7,facing,3,standing,5,woman,5,cars,6,was,6,red,8,kind,3,pole,3,clean,6,flowers,14,killed,1,walls,4
13,tree,3,right,15,shoes,3,looking,5,where,11,left,4,elephant,5,holding,7,horse,3,water,5,happy,5,vehicle,6,clock,6,name,8,shoes,3,fire,3,wearing,6,cake,14,make,1,someone,4
14,giraffe,3,standing,15,players,3,umbrella,5,hand,10,holding,4,shown,4,skateboard,6,see,2,cows,4,dogs,5,why,6,lights,6,bus,7,wearing,3,say,3,left,6,wall,12,rug,1,kitchen,4
15,animal,3,men,15,player,3,girl,5,right,8,kind,4,eating,4,people,6,eat,2,wearing,4,person,5,would,6,front,6,right,6,old,3,building,3,front,5,short,12,clean,1,would,4
16,large,3,player,15,seats,2,made,5,glasses,8,look,4,bird,4,dog,6,baby,2,cat,4,eyes,5,made,6,background,6,stop,6,outside,3,ca,2,red,5,vegetable,12,device,1,here,4
17,type,3,girl,15,where,2,shown,4,playing,8,girls,4,which,4,riding,6,white,2,horse,4,boy,4,planes,6,like,5,which,6,bikes,3,used,2,room,5,clean,12,used,1,chairs,4
18,water,2,type,14,wearing,2,blue,4,cake,7,food,3,trees,4,standing,5,right,2,sheep,4,animals,4,trees,6,right,5,here,5,clock,2,anyone,2,television,5,fruit,11,sink,1,short,4
19,see,2,kind,14,female,2,shirt,4,who,7,glasses,3,zoo,4,background,5,birds,2,camera,4,wall,4,name,5,cars,5,building,5,girl,2,benches,2,toilet,5,top,11,countertop,1,taken,4
20,elephants,2,which,13,why,2,animal,4,boy,7,furniture,3,would,3,skater,5,cows,2,front,4,sleeping,4,area,5,sign,5,white,5,cap,2,case,2,look,5,made,11,like,1,open,4
21,weather,2,riding,13,team,2,bench,3,look,7,where,3,baby,3,was,4,grown,2,hair,4,asleep,4,boat,5,would,5,yellow,4,whole,2,someone,2,screen,5,meal,11,scheme,1,look,3
22,presented,2,background,12,logo,2,elephant,3,eating,7,short,3,wild,3,one,4,toward,2,where,4,short,4,animals,5,taken,5,kind,4,seating,2,white,2,chair,5,sandwich,11,apartment,1,clean,3
23,kites,2,see,12,racket,2,which,3,which,7,men,3,here,3,giraffes,4,branch,2,shown,4,couch,4,car,5,behind,5,who,4,pattern,2,flowers,2,top,5,desk,10,refrigerator,1,home,3
24,right,2,who,12,was,2,A,3,pizza,6,shirt,3,field,3,ground,4,short,2,boy,3,going,4,road,5,seen,5,numbers,4,pictured,2,umbrella,2,table,5,dish,10,larger,1,sink,3
25,side,2,batter,12,left,2,short,3,phone,6,gaming,3,birds,3,snowboarder,4,description,2,laying,3,laptop,3,vehicles,5,side,4,like,4,people,2,next,2,tv,5,see,10,curtains,1,depiction,2
26,leaving,2,bike,11,athletic,1,description,3,hair,6,work,3,short,3,sky,4,pictured,2,who,3,girl,3,going,5,kind,4,one,4,main,2,food,2,where,5,computer,10,closed,1,front,2
27,appear,2,game,11,build,1,type,3,happy,5,dressed,3,depiction,3,skier,4,water,2,open,3,pictured,3,moving,4,street,4,truck,4,train,2,scene,2,bears,4,paper,9,cabinet,1,used,2
28,flying,2,water,11,looking,1,child,3,used,5,event,3,water,3,skiing,4,type,2,see,3,water,3,water,4,night,4,sitting,4,windows,2,like,2,object,4,donuts,9,visible,1,new,2
29,clouds,2,bus,11,A,1,large,3,camera,5,women,3,live,2,why,4,giraffe,2,behind,3,turned,3,tracks,4,beach,4,front,4,open,2,time,2,background,4,vase,9,background,1,flooring,2
30,which,2,shoes,11,short,1,food,3,girls,5,item,2,area,2,which,4,wings,1,background,3,mouth,3,buses,4,white,4,pointing,4,car,2,fence,2,seat,4,shown,9,coffee,1,shower,2
31,man,2,kite,10,caption,1,bag,3,floor,5,gray,2,who,2,area,3,know,1,leash,3,open,3,A,4,made,4,black,4,shoe,2,traffic,2,phone,4,items,9,maker,1,classroom,2
32,zebra,2,blue,10,empty,1,helmet,3,hands,5,which,2,airplane,2,fall,3,larger,1,alive,2,floor,3,description,4,number,4,english,4,visible,2,light,2,laptop,4,utensil,9,restaurant,1,why,2
33,standing,2,why,10,grass,1,left,3,child,5,shelves,2,environment,2,planes,3,male,1,playing,2,bed,3,people,4,windows,4,pole,4,skateboard,2,made,2,bear,4,brand,9,sleep,1,need,2
34,grass,2,frisbee,10,showed,1,ball,2,room,5,meal,2,sheep,2,short,3,cow,1,baby,2,bear,3,like,4,look,3,buildings,3,ground,2,was,2,bananas,4,window,9,lamps,1,place,2
35,possible,2,grass,10,show,1,ground,2,baby,5,background,2,day,2,description,3,lying,1,woman,2,computer,3,sign,4,day,3,store,3,person,2,front,2,pizza,4,green,9,comfortable,1,white,2
36,number,2,shown,10,appliances,1,lady,2,made,5,pants,2,horse,2,air,3,made,1,aggressive,2,eating,3,fence,4,main,3,car,3,why,2,graffiti,2,hand,4,shape,8,set,1,windows,2
37,environment,2,beach,10,game,1,taking,2,two,4,nearest,2,scene,2,board,3,fur,1,grass,2,glasses,3,truck,4,red,3,wall,3,bananas,2,tastes,1,vase,4,clock,8,home,1,table,2
38,plane,2,team,9,boy,1,pictures,2,white,4,could,2,ducklings,2,fence,3,mane,1,around,2,playing,2,used,4,left,3,was,3,signal,2,represented,1,stripe,4,which,8,fan,1,wooden,2
39,boat,2,ground,9,behind,1,kids,2,making,4,description,2,horses,2,surfer,3,body,1,nose,2,stuffed,2,which,4,near,3,lights,3,trucks,2,bike,1,tie,4,description,8,blowing,1,curtains,2
40,green,2,going,9,batter,1,where,2,smiling,4,related,2,belong,2,wave,3,hair,1,mouth,2,hair,2,weather,4,why,3,top,3,head,2,reason,1,bread,4,meat,7,drawers,1,left,2
41,made,2,day,9,lying,1,get,2,here,4,ceiling,2,commercial,2,dangerous,3,darker,1,happy,2,using,2,scene,3,ground,3,someone,3,light,2,colors,1,desk,4,box,7,wall,1,small,2
42,Provide,2,flying,8,sitting,1,day,2,head,4,meeting,2,domestic,2,animal,3,giraffes,1,bears,2,angry,2,tower,3,going,3,shape,3,painted,2,painted,1,people,3,say,7,two,1,lights,2
43,Briefly,2,left,8,girl,1,hat,2,guy,4,modern,2,grazing,2,trees,3,mother,1,riding,2,breed,2,was,3,face,3,word,3,new,2,vase,1,computers,3,counter,7,couches,1,A,2
44,describe,2,bat,8,preparing,1,clothing,2,old,4,glass,2,eat,2,snow,3,foreground,1,head,2,jacket,2,way,3,stop,3,brand,3,building,2,buildings,1,would,3,sitting,7,flooring,1,provide,2
45,content,2,time,8,suit,1,white,2,little,4,play,2,Please,2,animals,3,dry,1,dogs,2,made,2,facing,3,here,3,object,3,sort,1,two,1,eat,3,A,7,real,1,pot,2
46,present,1,horse,8,male,1,frisbee,2,left,4,front,2,provide,2,young,3,two,1,ground,2,sitting,2,light,3,see,3,beach,3,numerals,1,meters,1,who,3,right,7,people,1,pictures,2
47,when,1,number,8,wall,1,riding,2,dog,4,used,2,see,2,mountain,3,cats,1,flying,2,blanket,2,near,3,snow,3,side,3,anyone,1,painting,1,movie,3,bowl,7,which,1,large,2
48,left,1,snow,8,Use,1,right,2,bottle,4,hand,2,green,2,taken,3,friendly,1,something,2,keyboard,2,birds,3,station,3,big,3,inside,1,truck,1,eggs,3,vegetables,7,kind,1,window,2
49,covered,1,seen,8,words,1,indoors,2,bed,4,looking,2,jungle,1,day,3,material,1,eating,2,holding,2,top,3,type,3,direction,3,band,1,taking,1,rug,3,floor,6,bigger,1,plant,2
