question_id,question,gt_ans,base_ans,moe_ans
20655442,is the gentleman in the bottom part or in the top of the photo?,top,bottom,top
201640486,what shape is that watch?,square,round,square
202012752,is there a silver mobile phone or television?,yes,no,yes
201704522,which kind of animal is above the grass?,cow,cows,cow
201669483,what kind of dessert is the candle on?,cupcake,cake,cupcake
20654994,does the coat look uncomfortable and long?,no,yes,no
20308283,does the oven door that looks square seem to be white?,no,yes,no
20257432,what is the female person standing in?,water,sand,water
201056243,which gender is the spectator that is watching the soccer player?,male,female,male
201621574,which color is the floor?,brown,light brown,brown
20543021,is the fence behind the elephant tall and wooden?,no,yes,no
20157030,is the small utensil on the right side?,no,yes,no
20473008,who is in front of the woman?,boy,child,boy
201498360,does the device to the right of the keyboard look smooth and large?,no,yes,no
202244084,what dessert is grouped?,cupcakes,cupcake,cupcakes
202208386,which kind of sign is on the road?,traffic sign,street sign,traffic sign
20929669,is the vest behind a wheelchair?,yes,no,yes
20929645,is the old person in front of the mirror?,yes,no,yes
201758047,what is the color of the paper container?,brown,white,brown
2012848,does the white shirt look sleeveless?,yes,no,yes
202218847,what kind of cooking utensil is above the flower pot?,pan,cutting board,pan
202000853,is the brown fence behind the leafy bush?,yes,no,yes
201410953,does the toilet brush have a different color than the art work?,no,yes,no
202119760,is the floor made of the same material as the wall?,no,yes,no
20709926,what kind of vehicle is the woman in front of?,car,bus,car
20609498,what is located on top of the spoon that is shown in this image?,fork,cake,fork
20119194,what kind of clothing isn't black?,dress,skirt,dress
201481480,what is the woman to the right of the bag wearing?,pants,eye glasses,pants
201879394,what is the mirror made of?,metal,glass,metal
20412222,what items of furniture are to the left of the boy?,tables,chairs,tables
202270905,who is wearing a suit?,skateboarder,guy,skateboarder
202073384,what is higher than the tall trees?,sky,zebra,sky
202286815,is the backpack on the left side?,yes,no,yes
20781688,are the trousers the same color as the shoes?,no,yes,no
201982992,who is the coffee table in front of?,man,boy,man
20647391,does the man look young and tall?,yes,no,yes
202244532,what vegetables are not orange?,beans,carrots,beans
20452280,what type of furniture is sitting next to the fresh flowers?,chair,table,chair
20394891,are there blue knives in the photo?,yes,no,yes
20647362,what is holding onto the pants?,belt,glove,belt
201067756,what is the shape of the table behind the other table?,square,round,square
201110826,how hard are the plates?,hard,soft,hard
20794158,which material was used to make the white plate?,porcelain,glass,porcelain
201438594,what is the weight of the batter?,heavy,light,heavy
202246359,what is the item of furniture that the laptop is on called?,computer desk,table,computer desk
20756669,does the shelf look brown?,yes,no,yes
